country,year,pollutantName,value,Population,GDP_USD,gdp_per_capita
Sweden,1991,NOx,351.223568851,8617375.0,273834608019.8429,31777.03279941315
Sweden,1991,SOx,139.6220788361,8617375.0,273834608019.8429,31777.03279941315
Sweden,1992,NOx,343.497809599,8668067.0,283912173666.6781,32753.80470255688
Sweden,1992,SOx,137.5980152534,8668067.0,283912173666.6781,32753.80470255688
Sweden,1993,NOx,329.671507177,8718561.0,212647043708.40503,24390.15380042705
Sweden,1993,SOx,125.7373511949,8718561.0,212647043708.40503,24390.15380042705
Sweden,1994,NOx,344.226396111,8780745.0,228701658890.61688,26045.814892770133
Sweden,1994,SOx,131.9336877762,8780745.0,228701658890.61688,26045.814892770133
Sweden,1995,NOx,333.405159319,8826939.0,267052836695.49857,30254.29729326311
Sweden,1995,SOx,121.27578051649999,8826939.0,267052836695.49857,30254.29729326311
Sweden,1996,NOx,331.072531558,8840998.0,291952430659.1112,33022.564947883846
Sweden,1996,SOx,117.862551492,8840998.0,291952430659.1112,33022.564947883846
Sweden,1997,NOx,335.389245838,8846062.0,268251974485.58597,30324.45109310628
Sweden,1997,SOx,118.43956293160001,8846062.0,268251974485.58597,30324.45109310628
Sweden,1998,NOx,341.52517205099997,8850974.0,270889570937.9992,30605.622718810293
Sweden,1998,SOx,121.7716693677,8850974.0,270889570937.9992,30605.622718810293
Sweden,1999,NOx,336.255681154,8857874.0,274320415375.6778,30969.1033509483
Sweden,1999,SOx,112.5090732629,8857874.0,274320415375.6778,30969.1033509483
Sweden,2000,NOx,329.704985314,8872109.0,262905197441.66248,29632.773610159937
Sweden,2000,SOx,106.01540596699999,8872109.0,262905197441.66248,29632.773610159937
Sweden,2001,NOx,317.051211975,8895960.0,242499249692.616,27259.48067354349
Sweden,2001,SOx,102.4035980674,8895960.0,242499249692.616,27259.48067354349
Sweden,2002,NOx,294.93887796900003,8924958.0,267373345246.5313,29957.93876526156
Sweden,2002,SOx,94.4718805831,8924958.0,267373345246.5313,29957.93876526156
Sweden,2003,NOx,322.306655099,8958229.0,334074051172.9716,37292.42143430041
Sweden,2003,SOx,114.50520707919999,8958229.0,334074051172.9716,37292.42143430041
Sweden,2004,NOx,341.492720891,8993531.0,384547211147.2465,42758.20155034174
Sweden,2004,SOx,124.86821895430002,8993531.0,384547211147.2465,42758.20155034174
Sweden,2005,NOx,335.559795444,9029572.0,391690329314.4746,43378.61521171487
Sweden,2005,SOx,122.7924211946,9029572.0,391690329314.4746,43378.61521171487
Sweden,2006,NOx,341.18799577,9080505.0,422530427475.5361,46531.60011205721
Sweden,2006,SOx,110.69427142149999,9080505.0,422530427475.5361,46531.60011205721
Sweden,2007,NOx,333.990503225,9148092.0,490050156832.57385,53568.56455232127
Sweden,2007,SOx,85.01753622119999,9148092.0,490050156832.57385,53568.56455232127
Sweden,2008,NOx,321.994877886,9219637.0,514616528348.8341,55817.43927107261
Sweden,2008,SOx,79.0028245521,9219637.0,514616528348.8341,55817.43927107261
Sweden,2009,NOx,315.816946732,9298515.0,434313804907.3663,46707.8673215418
Sweden,2009,SOx,80.1015926344,9298515.0,434313804907.3663,46707.8673215418
Sweden,2010,NOx,307.849879657,9378126.0,492753255885.7183,52542.82741410365
Sweden,2010,SOx,67.0490544809,9378126.0,492753255885.7183,52542.82741410365
Sweden,2011,NOx,281.451581713,9449213.0,570541353128.7235,60379.77481603214
Sweden,2011,SOx,52.6840084396,9449213.0,570541353128.7235,60379.77481603214
Sweden,2012,NOx,263.4050146,9519374.0,549742183874.3553,57749.825132866434
Sweden,2012,SOx,51.0930970867,9519374.0,549742183874.3553,57749.825132866434
Sweden,2013,NOx,252.40260072,9600379.0,584128116410.29,60844.27671139754
Sweden,2013,SOx,61.197204613699995,9600379.0,584128116410.29,60844.27671139754
Sweden,2014,NOx,255.837030395,9696110.0,577730245154.1624,59583.71400016732
Sweden,2014,SOx,59.977411248200006,9696110.0,577730245154.1624,59583.71400016732
Sweden,2015,NOx,239.254693372,9799186.0,501698263620.6632,51197.95293411751
Sweden,2015,SOx,48.333051353600005,9799186.0,501698263620.6632,51197.95293411751
Sweden,2016,NOx,249.288658733,9923085.0,514218206628.3252,51820.39724826757
Sweden,2016,SOx,65.955058603,9923085.0,514218206628.3252,51820.39724826757
Sweden,2017,NOx,260.668437027,10057698.0,536083940228.68365,53300.85872817852
Sweden,2017,SOx,76.8937576443,10057698.0,536083940228.68365,53300.85872817852
Sweden,2018,NOx,233.35650475,10175214.0,551312498430.1636,54181.90697809045
